date,arena,age_group,host_club,team_count,game_count,furthest_travel,cancelled,cancellation_reason
2026-09-06,Jarhallen,U10,Jar,6,11,Frisk Asker 1~14km,nei,
2026-09-26,Varner Arena,U11,Frisk Asker,5,9,Jar 4~14km,nei,
2026-10-11,Ringerikshallen,U10,Ringerike,6,14,Skien 1~147km,nei,
2026-10-25,Sandefjord ishall,U11,Sandefjord Penguins,5,10,Ringerike 2~150km,nei,
2026-11-14,Varner Arena,U10,Frisk Asker,6,14,Tønsberg 1~82km,nei,
2026-11-28,Varner Arena,U11,Frisk Asker,5,9,Kongsberg 1~62km,nei,
2026-12-13,Skien ishall,U10,Skien,6,14,Ringerike 1~147km,nei,
2027-01-09,Varner Arena,U11,Frisk Asker,5,9,Ringerike 1~50km,nei,
2027-01-16,Varner Arena,U10,Frisk Asker,6,13,Ringerike 2~50km,nei,
2027-01-31,Jarhallen,U11,Jar,5,9,Skien 1~122km,nei,
2027-02-14,Jarhallen,U10,Jar,6,12,Skien 1~122km,nei,
2027-03-06,Varner Arena,U11,Frisk Asker,5,9,Ringerike 2~50km,nei,
2027-03-14,Jarhallen,U10,Jar,6,12,Kongsberg 1~75km,nei,
2027-04-10,Varner Arena,U11,Frisk Asker,5,9,Skien 1~109km,nei,
2027-04-18,Tonsberghallen,U10,Tønsberg,6,11,Jar 7~92km,nei,
